target	type	state	attack_type_messy	date_messy	url	year_clean
Grundy County Courthouse, Grundy County	Government	Missouri	Unknown, Malware	February 9th, 2020	https://www.kttn.com/grundy-county-courthouse-hit-with-cybersecurity-breach/	2020
"
City of Cape Girardeau, Cape Girardeau County
"	Government	Missouri	"
Unknown, Malware
"	"
January 23rd, 2020
"	https://www.kfvs12.com/2020/01/23/cape-girardeau-city-government-victim-cyber-attacks/	2020
" 
Saline County Courthouse, Marshall County 
 "	Government	Missouri	"
Unknown, Ransomware 
 "	" 
September 5th, 2019 
 "	https://www.marshallnews.com/story/2632108.html	2019
" 
CIty of Ashland, Boone County 
 "	Government	Missouri	"
Unknown, Ransomware 
 "	" 
August 29th, 2019 
 "	https://www.komu.com/news/ashland-city-government-recovering-from-cyberattack	2019
 State Government Offices of Missouri 	Government	Missouri	 Phishing, Other 	 February 18th, 2019 	https://www.spamfighter.com/News-22040-Hackers-attacked-the-email-system-used-by-Missouris-State-Government-employees.htm	2019
City of Washington	Government	Missouri	Ransomware	January 3rd, 2018	http://www.emissourian.com/local_news/washington/a-year-in-review-major-news-stories/article_4848bab7-0c3e-5735-b58a-b03384361624.html	2018
St. Louis Public Library	Government	Missouri	Ransomware	January 20th, 2017	https://www.databreaches.net/st-louis-public-library-computers-hacked-for-ransom/	2017
Platt County	Government	Missouri	Phishing	October 4th, 2016	https://davisdyermax.wordpress.com/2016/10/04/dont-bite-the-bait-protect-organizations-from-phishing-attacks/	2016
"
Missouri Delta Medical Center silent about patient data dump and claimed ransomware attack, Westchester County
"	Medical	Missouri	"
Hacking, Ransomware
"	"
September 12th, 2021
"	https://www.databreaches.net/missouri-delta-medical-center-silent-about-patient-data-dump-and-claimed-ransomware-attack/	2021
"
MO: Rockwood School District Provides Notice of Ransomware Incident, St. Louis County"	Medical	Missouri	"
Unknown, Ransomware
"	"
August 20th, 2021
"	https://www.databreaches.net/mo-rockwood-school-district-provides-notice-of-ransomware-incident/	2021
"
Perry County Memorial Hospital, Perry County
"	Medical	Missouri	"
Hacking, Data Breach
"	"
October 30th, 2020
"	https://www.beckershospitalreview.com/cybersecurity/missouri-hospital-notifies-patients-of-employee-email-hack-exposing-phi-5-things-to-know.html	2020
"
Saint Luke's Health System, Wyandotte County
"	Medical	Missouri	"
Unknown, Data Breach
"	"
September 15th, 2020
"	https://www.beckershospitalreview.com/cybersecurity/trinity-health-texas-children-s-7-more-health-systems-affected-by-blackbaud-breach.html	2020
"
MU Health Care, Boone County
"	Medical	Missouri	"
Phishing, Data Breach
"	"
June 11th, 2020
"	https://www.columbiamissourian.com/news/higher_education/mu-health-care-experienced-data-breach-some-social-security-numbers-compromised/article_44cfbf74-ac24-11ea-b2a6-abdda5987b58.html	2020
"
MU Health Care, Boone County
"	Medical	Missouri	"
Phishing, Data Breach
"	"
June 11th, 2020
"	https://www.columbiamissourian.com/news/higher_education/mu-health-care-experienced-data-breach-some-social-security-numbers-compromised/article_44cfbf74-ac24-11ea-b2a6-abdda5987b58.html	2020
"
BJC HealthCare, St. Louis City
"	Medical	Missouri	"
Hacking, Data Breach
"	"
May 6th, 2020
"	https://www.beckershospitalreview.com/cybersecurity/bjc-healthcare-reports-employee-email-breach-exposes-phi-for-19-facilities-5-details.html	2020
"
Betty Jean Kerr People's Health Center, St. Louis
"	Medical	Missouri	"
Unknown, Ransomware
"	"
October 25th, 2019
"	https://www.ksdk.com/article/news/local/stl-cyber-attack-data-breach-health-center/63-9279c732-55ab-47ca-aaea-130e3b06206a	2019
" 
Truman Medical Center, Jackson County 
"	Medical	Missouri	"
Unknown, Ransomware 
"	" 
August 6th, 2019 
"	https://www.kctv5.com/news/local_news/truman-medical-center-hit-with-ransomware-tuesday/article_7f599e92-b88e-11e9-a8c3-bbcbff1930d0.html	2019
Choice Rehabilitation, St. Louis County	Medical	Missouri	Phishing, Data Breach	December 31st, 2018	https://www.stltoday.com/ads/community/announcements/legal/december-choice-rehabilitation-notifies-residents-of-breach-of/ad_892b99c9-77bd-5593-84fa-437c5037eab8.html	2018
Blue Springs Family Care, Jackson Co.	Medical	Missouri	Hacking, Ransomware	July 26th, 2018	https://www.databreaches.net/mo-blue-springs-family-care-notifies-44979-patients-after-ransomware-attack/	2018
Cass Regional Medical Center, Cass County	Medical	Missouri	Ransomware	July 9th, 2018	https://www.kshb.com/news/local-news/cass-regional-medical-center-hit-by-ransomware-attack	2018
Children's Mercy Hospital, Jackson County	Medical	Missouri	Phishing/Data Breach	July 3rd, 2018	https://www.kansascity.com/news/business/health-care/article214266159.html	2018
Black River Medical Center, Butler Co.	Medical	Missouri	Phishing	June 20th, 2018	https://www.databreaches.net/mo-black-river-medical-center-notified-patients-whose-information-was-potentially-accessed/	2018
Namaste Health Care	Medical	Missouri	Ransomware	October 15th, 2017	https://www.databreaches.net/ashland-clinic-notifies-1600-patients-after-ransomware-incident/	2017
Burrell Behavioral Health	Medical	Missouri	Hack	September 3rd, 2016	https://www.databreaches.net/burrell-behavioral-health-provides-notice-of-data-security-incident/	2016
"
Missouri school district's employee data dumped by ransomware group, Jasper County
"	Education	Missouri	"
Unknown, Ransomware
"	"
January 11th, 2022
"	https://www.databreaches.net/missouri-school-districts-employee-data-dumped-by-ransomware-group/	2022
"
Affton School District, St. Louis County
"	Education	Missouri	"
Unknown, Ransomware
"	"
April 2nd, 2021
"	https://www.databreaches.net/mo-affton-school-district-discloses-ransomware-attack-current-and-former-employees-impacted/	2021
"
Park Hills School District, Platte County
"	Education	Missouri	"
Unknown, Malware
"	"
March 22nd, 2021
"	https://www.kshb.com/news/local-news/park-hill-schools-closed-monday-due-to-malware-attack	2021
"
West County School District, St. Francois County
"	Education	Missouri	"
Unknown, Data Breach
"	"
September 14th, 2020
"	https://dailyjournalonline.com/news/local/education/west-county-provides-notice-of-data-breach-last-year-no-identity-theft-reported-so-far/article_0b9e0fb9-6fa1-5100-aca1-5204432a0403.html	2020
"
University of Missouri, Boone County and Phelps County
"	Education	Missouri	"
Unknown, Data Breach
"	"
September 5th, 2020
"	https://www.linncountyleader.com/news/20200905/university-of-missouri-donor-info-taken-in-data-breach	2020
"
Metropolitan Community College of Kansas City, Wyandotte County
"	Education	Missouri	"
Unknown, Ransomware
"	"
August 12th, 2020
"	https://www.kctv5.com/news/local_news/metropolitan-community-college-of-kansas-city-says-they-fell-victim-to-ransomware-attack/article_a77c559e-dcd3-11ea-bbd4-738c6821a711.html	2020
"
Three Rivers College, Butler County
"	Education	Missouri	"
Unknown, Ransomware
"	"
March 14th, 2020
"	https://www.darnews.com/story/2675410.html	2020
"
St. Louis Community College, St.  Louis
"	Education	Missouri	"
Phishing, Data Breach
"	"
February 4th, 2020
"	https://www.ksdk.com/article/news/education/thousands-impacted-by-stlcc-data-breach/63-31afe6a2-8d05-4867-9719-281e0622a6c4	2020
" 
Ava School District, Douglas County
"	Education	Missouri	"
Unknown, Ransomware 
"	" 
September 18th, 2019 
"	https://www.ky3.com/content/news/Hackers--560726221.html	2019
 Missouri Southern State University, Jasper County 	Education	Missouri	Phishing, Data Breach 	 June 6th, 2019 	https://www.documentcloud.org/documents/6153866-Missouri-Southern-State-University-Notice-of.html	2019
Odessa School District	Education	Missouri	Phishing	January 25th, 2017	https://www.databreaches.net/odessa-one-of-eight-school-districts-targeted-in-e-mail-phishing-scam/	2017
Trenton R-9 District	Education	Missouri	Phishing	January 3rd, 2017	https://republican-times.com/2017/01/26/trenton-r-9-computer-hacked/#.WmDfRKinHIV	2017
Independence School District	Education	Missouri	Phishing	January 20th, 2017	http://kcur.org/post/social-security-numbers-stolen-all-independence-school-employees#stream/0	2017
Washington University School of Medicine	Education	Missouri	Phishing	December 2nd, 2016	https://www.jdsupra.com/legalnews/washington-university-school-of-74491/	2016
"
Montana Veterans Affairs Heath Care System (BRSI), Lewis and Clark County
"	Government	Montana	"
Unknown, Ransomware
"	"
July 23rd, 2020
"	https://www.greatfallstribune.com/story/news/2020/07/23/va-sending-letter-1-501-montana-vets-privacy-breach/5498082002/	2020
City of Bozeman Click2Gov pay system, Gallatin Co.	Government	Montana	Other, Data Breach	July 16th, 2018	http://www.abcfoxmontana.com/story/38658712/data-breach-threatens-bozeman-utility-customers	2018
"
Sapphire Community Health, Ravalli County
"	Medical	Montana	"
Unknown, Ransomware
"	"
April 27th, 2021 
"	https://www.beckershospitalreview.com/cybersecurity/montana-medical-group-locked-out-of-patient-files-while-attackers-demanded-ransom.html	2021
"
Kalispell Regional Healthcare, Flathead County
"	Medical	Montana	"
Phishing, Data Breach
"	"
October 22nd, 2019 
"	https://flatheadbeacon.com/2019/10/22/data-breach-krh-may-affected-129000-patients-personal-information/	2019
Billings Clinic, Yellowstone County	Medical	Montana	Phishing, Data Breach	July 13th, 2018	https://helenair.com/news/state-and-regional/billings-clinic-employee-s-email-hacked-during-overseas-travel-breach/article_94b30620-2089-5472-9316-2734a8a6f20f.html	2018
 Montana High School Hit By Ransomware, Beaverhead County High School, Beaverhead County 	Education	Montana	"
Unknown, Ransomware
"	"
November 23rd, 2021"	https://www.databreaches.net/montana-high-school-hit-by-ransomware/	2021
"
Bainville Public Schools, Roosevelt County
"	Education	Montana	"
Unknown, Ransomware
"	"
October 23rd, 2019
"	https://assets.documentcloud.org/documents/6795458/Consumer-39.pdf	2019
Havre Public Schools, Hill County	Education	Montana	Unknown, Ransomware	February 10th, 2020	https://www.missoulacurrent.com/business/2020/02/ransomware-havre-schools/	2020
Columbia Falls School District	Education	Montana	Hack	September 18th, 2017	http://nbcmontana.com/news/local/parents-react-to-cyber-hackers-ransom-letter-to-school-officials	2017
Forsyth Public School	Education	Montana	Ransomware	April 1st, 2017	http://lastbestnews.com/site/2017/03/hackers-hit-forsyth-schools-server-cause-disruptions/	2017
Bigfork School District	Education	Montana	Ransomware	November 22nd, 2016	http://www.dailyinterlake.com/archive/article-d9ec72a2-b117-11e6-95cc-7be8ddd1e3c5.html	2016
City of Beatrice, Beatrice Police, Fire & Rescue	Safety	Nebraska	Hacking, Malware	September 18th, 2018	https://beatricedailysun.com/news/local/virus-shuts-down-city-services/article_e862abc7-28ee-5064-a040-09c45315ab67.html	2018
"
DHHS and Aging Partners notified of protected health information breach, City of Lincoln  "	Government	Nebraska	"
Phishing, Data Breach
"	"
July 23rd, 2021
"	https://www.1011now.com/2021/07/23/dhhs-aging-partners-notified-protected-health-information-breach/	2021
"
City of Wayne, Wayne County
"	Government	Nebraska	"
Unknown, Ransomware
"	"
February 21st, 2020
"	https://www.wowt.com/content/news/City-of-Wayne-falls-victim-to-ransomware-cyber-attack-568086991.html	2020
"
City of Gothenburg, Dawson County
"	Government	Nebraska	"
Unknown, Ransomware
"	"
December 11th, 2019
"	https://www.gothenburgleader.com/news/city-office-is-victim-of-cyber-attack-but-no-records/article_9356d406-1c2e-11ea-b311-8753f0f5d003.html	2019
City of Bellevue Website	Government	Nebraska	Hack	July 3rd, 2017	http://www.ketv.com/article/city-of-bellevue-website-hacked-by-pro-isis-group/10255509	2017
"
Nebraska Medicine, Douglas County
"	Medical	Nebraska	"
Unknown, Malware
"	"
September 22nd, 2020
"	https://www.beckershospitalreview.com/cybersecurity/nebraska-medicine-reverts-to-paper-records-during-computer-network-outage-4-details.html	2020
 NRC Health, Lancaster County 	Medical	Nebraska	Unknown, Ransomware	 February 25th, 2020 	https://journalstar.com/business/local/lincoln-s-nrc-health-latest-company-to-be-hit-by/article_3d6a00b0-bdf4-5ec2-a99c-609776c27a05.html	2020
" 
Great Plains Health, Lincoln County 
"	Medical	Nebraska	"
Unknown, Ransomware 
"	" 
November 26th, 2019 
"	https://www.knopnews2.com/content/news/Ransomware-detected-in-Great-Plains-Health-computer-network-565477751.html	2019
"CHI Health Lakeside Hospital, Douglas County
"	Medical	Nebraska	"
Unknown, Ransomware
"	"
September 30th, 2019 
"	https://www.beckershospitalreview.com/cybersecurity/ransomware-attack-locks-chi-health-providers-out-of-ehr-database.html?oly_enc_id=1672I8155945E3V	
 Pawnee County Memorial Hospital, Pawnee County 	Medical	Nebraska	Phishing, Malware 	 February 9th, 2019 	https://www.databreaches.net/pawnee-county-memorial-hospital-notifies-7038-patients-after-employee-email-account-compromised-by-phishing-attack/	2019
Boys Town National Research Hospital, Douglas Co. 	Medical	Nebraska	Phishing, Data Breach	July 26th, 2018	https://www.healthdatamanagement.com/news/boys-town-hospital-cyberattack-affects-records-of-105-000-patients?utm_campaign=MorningRounds-Jul%2027%202018&utm_medium=email&utm_source=newsletter	2018
 Washoe Tribe suffers ransomware attack, Douglas County 	Government	Nevada	"
Unknown, Ransomware
"	"
July 19th, 2021
"	https://www.recordcourier.com/news/2021/jul/19/washoe-tribe-suffers-ransomware-attack/	2021
"
Carson City, Carson City County
"	Government	Nevada	"
Hacking, Data Breach
"	"
February 11th, 2020
"	https://www.nevadaappeal.com/news/carson-city/personal-information-hacked-from-carson-city-online-utility-payment-system/	2020
"
City of Las Vegas, Clark County
"	Government	Nevada	"
Unknown, Ransomware
"	"
January 7th, 2020
"	https://www.fox5vegas.com/news/city-of-las-vegas-data-systems-return-to-functioning-as/article_a82395a0-31d6-11ea-a49a-23ea7f934618.html	2020
"
Yerington Paiute Tribe, Lyon County
"	Government	Nevada	"
Unknown, Ransomware
"	"
December 18th, 2019
 
"	https://www.rgj.com/story/news/local/mason-valley/2019/12/18/yerington-paiute-tribe-hacked-cyber-attack/2686888001/	2019
 City of Reno, Washoe County 	Government	Nevada	Phishing, Other 	 February 8th, 2019 	https://mynews4.com/news/local/city-of-reno-involved-in-5000-phishing-scam	2019
Nevada Department of Transportation	Government	Nevada	Hack	August 17th, 2016	http://thisisreno.com/2016/08/fraudulent-unemployment-claims-targeted-state-employees/	2016
Clark County Water Reclamation District	Government	Nevada	Ransomware	March 7th, 2016	https://www.reviewjournal.com/local/local-las-vegas/clark-county-water-reclamation-district-computer-system-hacked/	2016
"
Ransomware attack targets Las Vegas Cancer Center Patients' personal info, Clark County
 "	Medical	Nevada	"
Hacking, Ransomware
"	"
November 2nd, 2021
"	https://www.ktnv.com/news/ransomware-attack-targets-las-vegas-cancer-center-patients-personal-information	2021
"
1.3 million affected after Las Vegas hospital cyberattack, Clark County"	Medical	Nevada	"
Hacking, Ransomware
"	"
August 23rd, 2021
"	https://www.beckershospitalreview.com/cybersecurity/1-3-million-affected-after-las-vegas-hospital-cyberattack.html	2021
"
Hackers Hit Las Vegas Hospital, Steal Data and Post Online
"	Medical	Nevada	"
Hacking, Ransomware
"	"
June 30th, 2021
"	https://www.reviewjournal.com/local/local-las-vegas/las-vegas-hospital-hit-in-cyberattack-data-stolen-2389775/	2021
"
Nevada Health Centers, Carson City
"	Medical	Nevada	"
Unknown, Data Breach
"	"
February 5th, 2021
"	https://www.reviewjournal.com/local/local-nevada/nevada-health-centers-reports-data-breach-2274547/	2021
"
Clark County School District, Clark County
"	Education	Nevada	"
Unknown, Ransomware
"	"
September 8th, 2020
"	https://www.washingtontimes.com/news/2020/sep/8/clark-county-schools-reports-computer-ransomware-a/	2020
"
Clark County School District, Clark County
"	Education	Nevada	"
Unknown, Ransomware
"	"
September 8th, 2020
"	https://www.washingtontimes.com/news/2020/sep/8/clark-county-schools-reports-computer-ransomware-a/	2020
 Lyon County School District, Lyon County 	Education	Nevada	Unknown, Malware 	 July 15th, 2019 	https://www.rgj.com/story/news/2019/07/15/lyon-county-school-district-hacked-latest-local-agency-cyber-attack-cyberattack-baltimore-ransomware/1740490001/	2019
"
Town of Salem, Rockingham County
"	Safety	New Hampshire	"
Data Breach, Ransomware
"	"
October 28th, 2020
"	https://www.eagletribune.com/news/new_hampshire/info-may-be-stolen-in-salem-computer-attack/article_ebb5339c-16bd-5d96-9bd0-c5a03dca17d0.html	2020
 Strafford County Dispatch & Government Computer Systems	Safety	New Hampshire	Unknown, Malware	 June 28th, 2019	https://www.fosters.com/news/20190628/ransom-virus-strikes-strafford-county-computer-system	2019
 Weare Police Department, Hillsborough County 	Safety	New Hampshire	Hacking, Malware 	 June 3rd, 2019 	https://www.wmur.com/article/weare-warns-of-data-breach-at-police-department/27702433	2019
Emotet hits City of Portsmouth & Portsmouth PD 	Safety	New Hampshire	Phishing	March 21st, 2018	http://www.seacoastonline.com/news/20180321/pretty-good-virus-affects-portsmouth-city-hall-computers	2018
Ransomware Hits Durham PD	Safety	New Hampshire	Ransomware	June 19th, 2014	https://www.nbcnews.com/tech/security/virus-wipes-out-new-hampshire-police-departments-computers-n126466	2014
"
New Hampshire Town Loses $2.3M in Taxpayer Money to Cyberattack, Hillsborough County  
"	Government	New Hampshire	"
Phishing, Other
"	"
August 23rd, 2021
"	https://www.nbcboston.com/news/local/new-hampshire-town-loses-2-3m-in-taxpayer-money-to-cyberattack/2474250/	2021
"
City of Keene (TMR Services), Cheshire County
"	Government	New Hampshire	"
Hacking, Data Breach
"	"
November 16th, 2020
"	https://www.sentinelsource.com/news/local/keene-alerts-those-potentially-affected-by-data-security-breach/article_272d8eca-0cf2-5791-bcb8-869bb1be627a.html	2020
 Ransomware attack shuts down New Hampshire clinics, Coos County Family Health Services	Medical	New Hampshire	"Unknown, Ransomware
"	"
September 24th, 2021
"	https://www.beckershospitalreview.com/cybersecurity/ransomware-attack-shuts-down-new-hampshire-clinics-3-details.html	2021
"
New London Hospital, Merrimack County
"	Medical	New Hampshire	"
Unknown, Data Breach
"	"
March 11th, 2021
"	https://www.beckershospitalreview.com/cybersecurity/34-000-affected-in-new-hampshire-hospital-data-breach.html	2021
"
Catholic Medical Center (CMC), Hillsborough County
"	Medical	New Hampshire	"
Unknown, Data Breach
"	"
September 14th, 2020
"	https://www.unionleader.com/news/health/cmc-notified-of-fundraising-software-security-breach/article_ce251254-c666-5b93-a705-538e1f6b3fe3.html	2020
" 
Sunapee School District, Sullivan Co. 
"	Education	New Hampshire	"
Unknown, Ransomware 
"	" 
December 7th, 2019 
"	https://www.unionleader.com/news/education/ransomware-attack-thwarted-at-sunapee/article_325cea79-c2a8-5e56-90ed-b474c2f69635.html	2019
Concord School District	Education	New Hampshire	Phishing	April 6th, 2016	https://patch.com/new-hampshire/concord-nh/concord-school-district-reports-data-security-breach-0	2016
"
Haledon police computer breach of untold magnitude affects private citizens, Passaic County 
"	Safety	New Jersey	"
Hacking, Data Breach
"	"
August 20th, 2021
"	https://www.northjersey.com/story/news/passaic/haledon/2021/08/20/haledon-nj-police-department-cyberattack-raises-identity-theft-alert/8193082002/	2021
"
Trenton Police Department, Mercer County
"	Safety	New Jersey	"
Unknown, Ransomware
"	"
April 21st, 2020
"	https://www.trentonian.com/news/trenton-police-suffers-2nd-cyberattack-in-six-months-mayor-say-officials-forced-to-reinvent-wheel/article_13107712-8352-11ea-8853-731fab044f46.html	2020
" 
Maplewood Police Department, Essex County 
"	Safety	New Jersey	"
Unknown, Malware 
"	" 
August 8th, 2019 
"	https://www.databreaches.net/township-of-maplewood-nj-provides-media-notification-of-data-security-incident/	2019
Montville Township & Montville Police Department, Morris County 	Safety	New Jersey	Malware	December 17th, 2018	https://www.tapinto.net/towns/montville/articles/montville-township-hacked-computers-down	2018
Rockaway Township Police CAD System, Morris County	Safety	New Jersey	Ransomware	November 26th, 2018	https://www.dailyrecord.com/story/news/local/morris-county/2018/11/26/rockaway-twp-police-computers-down-after-possible-cyber-attack/2118354002/	2018
Tom’s River Police Headquarters	Safety	New Jersey	Data Breach	September 28th, 2017	https://www.app.com/story/news/local/public-safety/2017/09/28/data-breach-toms-river-police-headquarters/712245001/	2017
Newark PD	Safety	New Jersey	Hack	April 16th, 2016	http://www.nj.com/essex/index.ssf/2016/04/cyber_attack_shuts_down_newark_police_computer_sys.html	2016
"
NJ can't print MVC documents, issue checks because of cyberattack, State of New Jersey "	Government	New Jersey	"
Unknown, Malware
"	"
December 29th, 2021
"	https://nj1015.com/nj-cant-print-mvc-documents-issue-checks-because-of-cyber-attack/	2021
"
Middletown email crash result of 'criminal cyberattack': Township, Montmouth County
"	Government	New Jersey	"
Unkown, Malware
"	"
October 26th, 2021
"	https://www.app.com/story/news/crime/jersey-mayhem/2021/10/26/middletown-email-server-hacked/8555464002/	2021
 Plumsted Township Impacted By Data Security Incident, Ocean County	Government	New Jersey	"
Phishing, Data Breach"	"
October 8th, 2021"	https://www.fox19.com/prnewswire/2021/10/08/plumsted-township-impacted-by-data-security-incident/	2021
"
Update: Who pays the ransom for NJ records taken by hackers? Taxpayers, and 'it's all preventable', Borough of Wildwood Crest Computer Systems, Cape May County
"	Government	New Jersey	"
Hacking, Ransomware"	"
August 23rd, 2021
"	https://www.njherald.com/story/news/watchdog/2021/08/23/ransomware-attack-data-breach-tax-money-spent/8163049002/?fr=operanews	2021
"
Notice of Data Event: Borough of Wildwood Crest Computer Systems, Cape May County
"	Government	New Jersey	"
Hacking, Ransomware
"	"
June 30th, 2021
"	https://www.doj.nh.gov/consumer/security-breaches/documents/borough-wildwood-crest-20200706.pdf	2021
"
myNewJersey portal, State of New Jersey
"	Government	New Jersey	"
Hacking, Data Breach
"	"
March 8th, 2021
"	https://www.northjersey.com/story/news/new-jersey/2021/03/08/nj-state-worker-portal-hit-cyberattack-what-you-need-know/4633760001/	2021
"
The Jersey City Municipal Utilities Authority, Hudson County
"	Government	New Jersey	"
Unknown, Ransomware
"	"
December 11th, 2020
"	https://www.nj.com/hudson/2020/12/jersey-city-utilities-agency-investigating-ransomware-attack-that-blocked-access-to-vital-data.html	2020
"
Bernards Township, Somerset County
"	Government	New Jersey	"
Unknown, Ransomware
"	"
May 14th, 2020
"	https://www.nj.com/somerset/2020/05/nj-towns-computers-target-of-ransomware-attack-mayor-says-towns-website-knocked-offline.html	2020
" 
Town of Dover, Morris Co. 
"	Government	New Jersey	"
Unknown, Ransomware 
"	" 
November 14th, 2019 
"	https://www.nj.com/union/2019/11/cyberattacks-target-government-computer-systems-in-2-nj-counties.html	2019
" 
Union County Government System, Union Co. 
"	Government	New Jersey	"
Unknown, Ransomware 
"	" 
November 14th, 2019 
"	https://www.nj.com/union/2019/11/cyberattacks-target-government-computer-systems-in-2-nj-counties.html	2019
 Township of Roxbury, Morris County 	Government	New Jersey	Unknown, Malware 	 May 7th, 2019 	https://www.tapinto.net/towns/roxbury/articles/a-virus-hit-roxbury-s-municipal-computers-council-wants-answers	2019
 Mercer County Clerk, Mercer County 	Government	New Jersey	 Phishing, Other 	 February 14th, 2019 	http://nj1015.com/mercer-county-clerks-email-hacked-in-latest-scam-targeting-nj/	2019
 Borough of Palisades Park, Bergen County 	Government	New Jersey	Phishing, Other 	January 30th, 2019 	https://www.northjersey.com/story/news/bergen/palisades-park/2019/01/30/palisades-park-nj-officials-nearly-500-000-missing-bank-breach/2726275002/	2019
Borough of Oakland Administrative Systems, Bergen County 	Government	New Jersey	Malware	December 28th, 2018	https://www.northjersey.com/story/news/bergen/oakland/2018/12/28/oakland-nj-municipal-computer-system-possibly-hacked/2433443002/	2018
The Brick Township Municipal Utilities Authority, Ocean County	Government	New Jersey	Phishing, Malware	September 6th, 2018	http://brick.shorebeat.com/2018/09/brick-mua-computer-breach-did-not-put-customers-at-risk-officials-say/	2018
Bloomfield Township Website, Essex County	Government	New Jersey	Hacking, Other	May 15th, 2018	https://www.tapinto.net/towns/bloomfield/articles/bloomfield-township-website-hacked-after-communic	2018
New Jersey State Government & Education Employees	Government	New Jersey	Other	March 22nd, 2018	http://newjersey.news12.com/story/37790381/cybersecurity-officials-warn-of-state-email-breach	2018
Cape May County	Government	New Jersey	Ransomware	July 11th, 2017	http://www.pressofatlanticcity.com/news/cape-may-county-the-target-of-several-ransomware-attacks/article_a391ebf2-ee69-57ac-b5d2-a500576f73b4.html	2017
Town of Springfield, Union County	Government	New Jersey	Hack	July 6th, 2017	https://www.prnewswire.com/news-releases/township-of-springfield-notifies-community-members-visitors-following-cyberattack-300469628.html	2017
Newark City Hall	Government	New Jersey	Ransomware	April 21st, 2017	https://www.tapinto.net/towns/newark/articles/newark-city-hall-computers-hacked-with-ransomware	2017
Town of Plainfield	Government	New Jersey	Ransomware	April 4th, 2016	http://newyork.cbslocal.com/2016/04/04/plainfield-nj-ransomware-attack/	2016
 New Jersey clinic settles EHR database breach for $495k, Essex County	Medical	New Jersey	"
Unknown, Data Breach"	October 13th, 2021	https://www.beckershospitalreview.com/cybersecurity/new-jersey-clinic-settles-ehr-database-breach-for-495k.html	2021
"
University Hospital New Jersey, Essex County
"	Medical	New Jersey	"
Unknown, Ransomware
"	"
September 16th, 2020
"	https://www.bleepingcomputer.com/news/security/university-hospital-new-jersey-hit-by-suncrypt-ransomware-data-leaked/	2020
"
Hackensack Meridian Health Group, Bergen County
"	Medical	New Jersey	"
Unknown, Data Breach
"	"
August 7th, 2020
"	https://www.northjersey.com/story/news/health/2020/08/07/cyber-attack-hackensack-meridian-health-group-alerts-data-breach/3324653001/	2020
"
Hackensack Meridian Health, Edison County
"	Medical	New Jersey	"
Unknown, Ransomware
"	"
December 5th, 2019
"	https://www.app.com/story/money/business/consumer/2019/12/04/computers-hackensack-meridian-health/2614012001/	2019
 ActivYouth Orthopaedics (Office of Dr. Ronald Snyder), Bergen County 	Medical	New Jersey	Unknown, Ransomware 	 April 22nd, 2019 	https://www.databreaches.net/nj-ronald-snyder-m-d-notifies-patients-after-ransomware-incident/	2019
Sunspire Health, Bergen Co. 	Medical	New Jersey	Phishing, Data Breach	July 17th, 2018	https://www.healthdatamanagement.com/news/sunspire-health-patient-data-at-risk-from-email-breach	2018
Hackensack Sleep & Pulmonary Center	Medical	New Jersey	Ransomware	December 11th, 2017	http://www.healthcareitnews.com/news/ransomware-attack-nj-provider-locks-16000-patient-records	2017
New Jersey Spine Center	Medical	New Jersey	Ransomware	September 29th, 2016	https://www.databreaches.net/nj-spine-center-saw-no-other-option-but-to-pay-ransom/	2016
"
Vulgar Messages Appear as Bridgewater Schools’ Websites Hacked
"	Education	New Jersey	"
Hacking, Other
"	"
June 25th, 2021
"	https://patch.com/new-jersey/bridgewater/vulgar-messages-appear-bridgewater-schools-websites-hacked?utm_source=flipboard&utm_medium=rss&utm_term=schools&utm_campaign=recirc&utm_content=flipboard/	2021
"
Bernards Township School District, Somerset County
"	Education	New Jersey	"
Unknown, Malware
"	"
April 14th, 2021
"	https://www.mycentraljersey.com/story/news/education/2021/04/14/hillsborough-bernards-nj-school-districts-report-cyber-attacks/7204033002/	2021
"
Hillsborough Township Public Schools, Somerset County
"	Education	New Jersey	"
Unknown, Malware
"	"
April 13th, 2021
"	https://www.tapinto.net/articles/cyber-attack-shuts-down-hillsborough-schools-computer-network	2021
"
Somerset Hills Regional School District, Somerset County
"	Education	New Jersey	"
Unknown, Ransomware
"	"
September 10th, 2020
"	https://www.newjerseyhills.com/bernardsville_news/news/covid-19-computer-attack-delays-bernardsville-school-opening/article_3125a53b-356c-5521-bd03-6a2df8240489.html	2020
"
Livingston Township, Essex County
"	Education	New Jersey	"
Hacking, Ransomware
"	"
November 24th, 2019
"	https://nj1015.com/nj-school-district-says-computer-servers-hacked-by-ransomware/	2019
" 
Livingston Public Schools, Essex County 
"	Education	New Jersey	"
Unknown, Ransomware 
"	" 
November 25th, 2019 
"	https://abc7ny.com/education/nj-school-district-tries-to-recover-after-being-hit-with-ransomware-attack/5717163/	2019
"
Cherry Hill Public Schools District, Camden County;
"	Education	New Jersey	"
Unknown, Ransomware
"	"
October 7th, 2019
"	https://www.courierpostonline.com/story/news/2019/10/07/cherry-hill-schools-computer-problems-ransomware-suspected/3899331002/	2019
Galloway Township Public School District, Atlantic County 	Education	New Jersey	Hacking	November 1st, 2018 	https://www.pressofatlanticcity.com/education/missing-in-galloway-schools-cybersecurity-incident/article_0e7ca40a-34cb-5c44-a5d6-1b16088dfca1.html	2018
