year,critical_industry,size,digital,sector,country,policy,no_encryption,detected_by,paid,type,size_bin,id,capitalization,internet_sales,internet_sales_share,ransom,pay
2014,Yes,Small,Medium-High,"Computer, electronic and optical products",USA,Yes,Yes,Organisation,No,Malware installed,0,397,161,104,25.56,5.77,Refuse
2016,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,2,398,372,134,32.84,16.63,Pay
2016,No,Large,High,Legal and accounting activities,USA,Yes,Yes,Organisation,No,Suspicious activity,2,399,337,231,56.56,17.88,Pay
2016,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Phishing attack,0,400,80,118,28.91,8.16,Refuse
2015,Yes,Small,Low,Accommodation and food service activities,USA,Yes,,Public,No,Unknown attack on PoS,0,401,124,116,28.37,5.27,Refuse
2019,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Hard drive stolen,2,402,227,333,81.48,22.93,Refuse
2008,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Employee accessed data,0,403,130,143,35.11,5.93,Refuse
2016,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Ransomware,2,404,333,167,40.86,16.38,Pay
2014,Yes,Small,Low,Transportation storage,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,0,405,100,118,28.87,5.95,Refuse
2012,No,Medium,Medium-High,"Arts, entertainment and recreation",USA,Yes,Yes,Organisation,No,Unknown,1,406,206,124,30.28,9.76,Refuse
2015,Yes,Small,High,IT and other information services,UK,Yes,,Federal Agency,No,Unknown,0,407,110,138,33.71,8.85,Refuse
2013,No,Small,Medium-High,"Arts, entertainment and recreation",USA,Yes,,Organisation,No,Unknown,0,408,70,133,32.55,6.31,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Phishing attack,0,409,114,82,20.16,6.59,Refuse
2013,No,Large,Low-Medium,Residential care and social work activities,USA,Yes,Yes,Organisation,No,Laptops stolen,2,410,341,265,64.82,20.57,Pay
2008,Yes,Small,High,Finance and insurance,USA,Yes,No,Organisation,No,Former employee accessed data,0,411,79,123,30,9.01,Refuse
2005,No,Small,Medium-High,"Publishing, audiovisual and broadcasting",Global,Yes,Yes,Organisation,No,Social engineering directed towards customers with a worm and keystroke logger as well.,0,412,124,114,27.82,5.44,Refuse
2009,No,Small,Medium-High,"Publishing, audiovisual and broadcasting",USA,Yes,Yes,,No,Thieves posed as customers and obtained data,0,413,76,104,25.36,5.91,Refuse
2015,No,Small,High,Legal and accounting activities,UK,Yes,Yes,Organisation,No,Computer towers stolen,0,414,110,73,17.85,5.05,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Malware installed,0,415,75,118,28.81,8.95,Refuse
2017,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen,0,416,93,102,24.95,4.94,Refuse
2012,No,Small,High,Advertising and other business services,USA,Yes,Yes,,No,Unknown,0,417,53,89,21.88,5.78,Refuse
2013,Yes,Medium,High,IT and other information services,USA,Yes,Yes,Organisation,No,Vulnerability in Adobe server,1,418,193,179,43.82,12.59,Refuse
2013,No,Small,High,Advertising and other business services,USA,Yes,Yes,Organisation,No,Unknown,0,419,104,128,31.26,6.98,Refuse
2017,Yes,Small,Medium-High,"Computer, electronic and optical products",USA,Yes,,Organisation,No,Unauthorised access,0,420,130,130,31.78,5.37,Refuse
2017,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Ransomware,2,421,325,328,80.44,20.97,Pay
2014,Yes,Small,Low-Medium,Human health activities,USA,Yes,No,Organisation,No,Computers stolen,0,422,105,126,30.9,7.86,Refuse
2018,No,Medium,Medium-High,"Arts, entertainment and recreation",USA,Yes,,Organisation,No,Phishing attack,1,423,203,115,28.24,12.14,Refuse
2016,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Former employee accessed data,0,424,47,22,5.31,-0.93,Refuse
2007,Yes,Small,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Unknown,0,425,81,73,17.89,6.5,Refuse
2013,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen,0,426,150,128,31.37,9.67,Refuse
2008,No,Small,Low-Medium,"Textiles, wearing apparel and leather",USA,Yes,,Organisation,No,Unknown,0,427,154,78,19.01,6.53,Refuse
2017,Yes,Medium,Low,"Food products, beverages and tobacco",USA,Yes,Yes,Organisation,No,Malware installed on PoS,1,428,183,127,31.21,11.92,Refuse
2017,No,Small,Low-Medium,Education,USA,Yes,,Organisation,No,Unauthorised access but unknown,0,429,65,112,27.49,7.99,Refuse
2016,No,Large,High,Legal and accounting activities,USA,Yes,Yes,Organisation,No,Malware installed,2,430,266,276,67.48,18.69,Refuse
2016,Yes,Medium,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Laptop stolen from car,1,431,236,128,31.26,12.37,Refuse
2017,Yes,Small,Low,Transportation storage,Global,Yes,Yes,Organisation,No,Ransomware,0,432,89,105,25.83,7.21,Refuse
2019,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Ransomware,2,433,343,314,76.96,24.34,Pay
2016,Yes,Small,High,IT and other information services,Russia,Yes,Yes,Organisation,No,Unknown,0,434,111,133,32.62,6.86,Refuse
2015,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Federal Agency,No,Unknown,0,435,110,79,19.27,6.58,Refuse
2017,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Suspicious code on website,1,436,232,187,45.74,14.48,Refuse
2015,No,Small,Low,Accommodation and food service activities,UK,Yes,,Public,No,Malware installed,0,437,83,98,24.06,7.42,Refuse
2017,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Malware installed,1,438,240,144,35.33,9.54,Refuse
2013,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Unknown,0,439,71,110,27.02,4.84,Refuse
2013,No,Small,Low-Medium,Education,USA,Yes,Yes,Federal Agency,No,Unknown,0,440,95,138,33.83,5.96,Refuse
2018,No,Small,Low,Accommodation and food service activities,Global,Yes,Yes,Organisation,No,Remote Access Trojan,0,441,130,95,23.18,5.41,Refuse
2010,Yes,Medium,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen,1,442,189,167,40.8,13.01,Refuse
2016,No,Medium,Medium-High,"Arts, entertainment and recreation",USA,Yes,Yes,Organisation,No,Suspicious files on website,1,443,191,173,42.4,12.62,Refuse
2016,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Access gained through vendor,0,444,101,109,26.62,4.55,Refuse
2017,No,Large,High,Legal and accounting activities,USA,Yes,Yes,Organisation,No,Malware installed,2,445,329,202,49.37,15.65,Pay
2017,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Code placed on website,1,446,189,139,33.94,10.4,Refuse
2005,Yes,Small,High,Finance and insurance,USA,Yes,No,Organisation,No,Theft of laptop/notebook.,0,447,81,60,14.62,6.16,Refuse
2007,Yes,Medium,Low-Medium,Pharmaceutical products,USA,Yes,Yes,Organisation,No,Laptop stolen,1,448,241,116,28.44,12.54,Refuse
2017,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Unknown,0,449,85,119,29.14,4.64,Refuse
2017,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,0,450,148,106,26.01,7,Refuse
2015,Yes,Medium,Medium-High,Machine equipment,USA,Yes,Yes,Organisation,No,Unauthorised access using easily guessed credentials and then SQL injection,1,451,191,155,37.98,11.79,Refuse
2017,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Ransomware,2,452,327,282,68.96,19.12,Pay
2017,No,Large,High,Legal and accounting activities,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,2,453,285,259,63.46,18.11,Refuse
2014,Yes,Small,High,IT and other information services,USA,Yes,Yes,Organisation,No,Unknown,0,454,87,119,29.18,7.57,Refuse
2017,Yes,Medium,High,Finance and insurance,USA,Yes,,Organisation,No,Unauthorised access to emails,1,455,203,139,34.1,11.03,Refuse
2007,Yes,Small,Low-Medium,Human health activities,USA,Yes,No,Organisation,No,Laptop stolen,0,456,123,88,21.47,6.88,Refuse
2019,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Phishing attack,0,457,144,151,36.87,9.15,Refuse
2016,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Virus installed,0,458,113,96,23.46,4.39,Refuse
2007,Yes,Small,High,Finance and insurance,USA,,No,Organisation,No,Computer stolen,0,459,87,104,25.38,5.85,Refuse
2017,No,Medium,Low,Accommodation and food service activities,USA,Yes,Yes,Organisation,No,Phishing attack,1,460,211,193,47.33,14.84,Refuse
2014,No,Small,High,Advertising and other business services,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,0,461,99,97,23.71,3.23,Refuse
2014,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Unknown,0,462,85,125,30.7,6.84,Refuse
2012,No,Small,Low-Medium,Education,USA,Yes,Yes,Public,No,Unauthorised access but unknown,0,463,137,77,18.84,2.67,Refuse
2011,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Credit card/bank,No,Physical devices installed on PoS,0,464,96,106,25.97,6.94,Refuse
2016,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Unknown,0,465,146,117,28.71,8.53,Refuse
2013,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Unknown attack changing credentials,0,466,83,63,15.34,2.91,Refuse
2013,Yes,Medium,Low,"Food products, beverages and tobacco",USA,Yes,Yes,Organisation,No,Unknown,1,467,220,134,32.91,9.22,Refuse
2016,No,Medium,Medium-High,"Arts, entertainment and recreation",USA,Yes,Yes,Organisation,No,Phishing attack,1,468,192,141,34.45,8.45,Refuse
2016,No,Medium,Medium-High,"Arts, entertainment and recreation",USA,Yes,Yes,Organisation,No,Unknown,1,469,270,170,41.74,13.25,Refuse
2016,Yes,Small,High,IT and other information services,USA,Yes,Yes,Organisation,No,Phishing attack,0,470,81,107,26.16,5.77,Refuse
2019,Yes,Small,Medium-High,Electrical equipment,Japan,Yes,Yes,Organisation,No,Unknown,0,471,104,82,20.12,6.51,Refuse
2017,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Phishing attack,0,472,101,143,34.98,9.5,Refuse
2014,No,Large,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Code installed,2,473,334,318,77.74,22.55,Pay
2017,Yes,Small,Low,Accommodation and food service activities,USA,Yes,Yes,Organisation,No,Phishing attack,0,474,85,121,29.66,4.93,Refuse
2018,Yes,Small,Low,"Food products, beverages and tobacco",USA,Yes,,Organisation,No,Ransomware,0,475,53,48,11.81,1.58,Refuse
2007,Yes,Small,High,Finance and insurance,USA,,,Organisation,No,Unauthorised access but unknown,0,476,101,128,31.24,7.29,Refuse
2007,No,Medium,High,Advertising and other business services,USA,Yes,Yes,Federal Agency,No,Used login credentials of clients,1,477,172,130,31.85,9.64,Refuse
2017,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Phishing attack,0,478,79,107,26.09,5.32,Refuse
2016,Yes,Small,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Unknown attack caused by employee transferring data to his personal server which was hacked,0,479,132,83,20.36,7.63,Refuse
2013,No,Small,High,Advertising and other business services,USA,Yes,,Organisation,No,Unknown,0,480,71,89,21.87,5.59,Refuse
2005,Yes,Small,Medium-High,"Computer, electronic and optical products",USA,Yes,,Organisation,No,Pair of computers stolen from third party contractor,0,481,134,62,15.14,6.57,Refuse
2014,Yes,Small,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Emails compromised,0,482,81,112,27.32,6.08,Refuse
2015,Yes,Medium,High,IT and other information services,UK,Yes,Yes,Public,No,Unknown,1,483,157,149,36.6,13.26,Refuse
2012,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Computer stolen,0,484,109,51,12.45,2.57,Refuse
2008,No,Small,Medium-High,"Arts, entertainment and recreation",USA,Yes,,Organisation,No,Trojan installed,0,485,127,96,23.46,8.13,Refuse
2016,No,Small,High,Advertising and other business services,USA,Yes,Yes,Organisation,No,Hard drive stolen,0,486,84,114,27.83,6.15,Refuse
2016,Yes,Small,Medium-High,Public administration and defence,France,Yes,No,Organisation,No,Unauthorised access but unknown,0,487,117,103,25.1,3.96,Refuse
2018,No,Medium,Medium-High,"Arts, entertainment and recreation",USA,Yes,,Organisation,No,Unknown,1,488,201,165,40.38,9.82,Refuse
2016,Yes,Medium,High,IT and other information services,USA,Yes,Yes,Organisation,No,Unknown,1,489,253,138,33.76,8.94,Refuse
2013,Yes,Medium,High,IT and other information services,USA,Yes,No,Organisation,No,Unknown,1,490,202,114,27.83,9.9,Refuse
2016,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Server stolen,2,491,304,374,91.67,25.51,Pay
2017,Yes,Small,Low-Medium,Human health activities,UK,Yes,Yes,Organisation,No,Ransomware,0,492,97,126,30.8,5.2,Refuse
2017,Yes,Small,Low,Transportation storage,USA,Yes,Yes,Organisation,No,Unknown,0,493,66,102,24.86,5.28,Refuse
2015,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen,0,494,92,169,41.45,11.63,Refuse
2007,No,Small,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Laptop stolen,0,495,149,74,18.17,2.97,Refuse
2012,No,Small,High,Finance and insurance,USA,Yes,,Organisation,No,Third party flaw used to access data,0,496,94,146,35.79,7.24,Refuse
2017,No,Medium,Low-Medium,"Textiles, wearing apparel and leather",USA,Yes,Yes,Organisation,No,Malware installed,1,497,203,159,39.03,9.45,Refuse
2013,No,Small,Medium-High,"Arts, entertainment and recreation",USA,Yes,Yes,Organisation,No,Laptop stolen,0,498,75,52,12.63,5.22,Refuse
2013,No,Small,Medium-High,"Arts, entertainment and recreation",USA,Yes,,Public,No,Malware installed,0,499,98,68,16.57,6.27,Refuse
2014,No,Small,Low-Medium,"Textiles, wearing apparel and leather",USA,Yes,Yes,Credit card/bank,No,Malware installed,0,500,110,73,17.86,6.37,Refuse
2018,Yes,Medium,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Vendor's credentials used to access data,1,501,226,142,34.67,13.46,Refuse
2009,Yes,Medium,High,IT and other information services,USA,Yes,,Organisation,No,Unauthorised code used to take data,1,502,197,89,21.89,6.6,Refuse
2016,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,0,503,129,54,13.31,4.47,Refuse
2015,No,Small,Low-Medium,Education,USA,Yes,,Organisation,No,Unknown,0,504,134,145,35.39,10.88,Refuse
2010,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Backup tapes stolen,0,505,103,131,32.08,7.78,Refuse
2009,Yes,Small,Medium-High,Public administration and defence,USA,Yes,,Organisation,No,Unencrypted tape    stolen,0,506,135,141,34.56,9.14,Refuse
2012,Yes,Small,Low,"Electricity, gas, steam and air conditioning",USA,Yes,,Organisation,No,Unauthorised access but unknown,0,507,77,82,20.01,4.53,Refuse
2016,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,0,508,30,103,25.11,4.41,Refuse
2018,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Code added to  payments page,0,509,86,134,32.7,6.45,Refuse
2016,No,Medium,High,Advertising and other business services,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,1,510,203,158,38.71,10.66,Refuse
2011,No,Small,Medium-High,"Arts, entertainment and recreation",South Korea,Yes,,Organisation,No,Unknown,0,511,85,132,32.28,5.21,Refuse
2017,Yes,Medium,High,Telecommunications,USA,Yes,Yes,Organisation,No,Phishing attack,1,512,236,154,37.7,11.42,Refuse
2013,No,Small,Medium-High,"Arts, entertainment and recreation",Global,Yes,Yes,Organisation,No,Unknown,0,513,31,117,28.6,5.62,Refuse
2010,Yes,Large,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Computer stolen,2,514,297,256,62.62,20.53,Refuse
2016,Yes,Large,Low-Medium,"Rubber, plastics products",USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,2,515,359,305,74.63,20.76,Pay
2015,No,Small,Low,Accommodation and food service activities,USA,Yes,,Organisation,No,Malware installed at PoS,0,516,117,105,25.65,6.15,Refuse
2016,Yes,Small,Low,Accommodation and food service activities,USA,Yes,Yes,Organisation,No,Malware installed,0,517,76,65,15.93,4.33,Refuse
2013,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Employee improperly did something,0,518,93,109,26.76,4.44,Refuse
2018,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,0,519,52,95,23.17,6.46,Refuse
2018,Yes,Medium,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Email accounts compromised,1,520,203,100,24.4,6.43,Refuse
2007,Yes,Small,Medium-High,Public administration and defence,USA,Yes,,Organisation,No,Unauthorised access but unknown,0,521,116,80,19.68,4.53,Refuse
2014,No,Small,Low-Medium,Education,USA,Yes,Yes,Credit card/bank,No,Unknown,0,522,157,147,36.06,9.01,Refuse
2015,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen,0,523,74,79,19.33,6.76,Refuse
2015,Yes,Medium,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Ransomware,1,524,177,134,32.87,8.45,Refuse
2014,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptops stolen,0,525,97,107,26.27,8.49,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,0,526,158,115,28.28,7.11,Refuse
2013,No,Small,High,Scientific research and development,USA,Yes,Yes,Organisation,No,Unknown,0,527,128,132,32.21,9.68,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Phishing attack,0,528,157,111,27.18,7.18,Refuse
2012,No,Small,Low-Medium,Education,USA,Yes,,Organisation,No,Unknown,0,529,100,159,38.98,6.69,Refuse
2017,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Ransomware,2,530,330,230,56.28,20.72,Pay
2006,No,Small,Low-Medium,Education,USA,,Yes,Organisation,No,Computer was targeted,0,531,95,113,27.76,4.31,Refuse
2005,No,Small,Low-Medium,Education,USA,,Yes,Organisation,No,Server compromised. Unclear how much data actually affected as 3500 definitely but 18000 potentially,0,532,85,85,20.9,4.54,Refuse
2014,No,Small,Low-Medium,Education,USA,Yes,,Organisation,No,Unauthorised access but unknown,0,533,143,103,25.24,6.63,Refuse
2017,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Devices stolen,0,534,61,120,29.4,6.27,Refuse
2017,Yes,Small,High,IT and other information services,USA,Yes,Yes,Organisation,No,Malware installed,0,535,109,34,8.39,3.09,Refuse
2012,Yes,Small,Medium-High,"Computer, electronic and optical products",USA,Yes,,Organisation,No,Unknown attack on website,0,536,99,97,23.78,7.25,Refuse
2016,Yes,Small,Low,Accommodation and food service activities,USA,Yes,Yes,Organisation,No,Malware installed,0,537,168,101,24.79,7.88,Refuse
2007,No,Small,High,Scientific research and development,USA,Yes,Yes,Organisation,No,Social engineering led to database access,0,538,82,93,22.73,3.72,Refuse
2011,No,Small,High,Scientific research and development,USA,Yes,No,Organisation,No,Social engineering led to database access,0,539,55,102,24.86,3.37,Refuse
2015,No,Medium,Low-Medium,Residential care and social work activities,USA,Yes,Yes,Organisation,No,Phishing attack,1,540,212,145,35.44,10.5,Refuse
2017,No,Small,Low-Medium,Education,USA,Yes,,Organisation,No,Unauthorised access but unknown,0,541,107,40,9.85,2.5,Refuse
2013,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen,2,542,185,232,56.82,17.27,Refuse
2013,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Computer stolen,2,543,283,222,54.45,18.41,Refuse
2013,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Computer stolen,2,544,241,182,44.63,14.5,Refuse
2013,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen,2,545,324,254,62.11,17.4,Pay
2010,No,Small,Low-Medium,Education,USA,Yes,,Organisation,No,Server hacked,0,546,99,110,27.03,8.78,Refuse
2007,No,Small,Low-Medium,Education,USA,Yes,,Organisation,No,Hackers gained access to an exposed database,0,547,75,100,24.51,6.02,Refuse
2007,Yes,Small,Medium-High,Public administration and defence,USA,Yes,Yes,Organisation,No,Device stolen,0,548,104,85,20.87,4.85,Refuse
2006,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Three combination of attacks including compromising servers to launch other  attacks and access data,0,549,92,14,3.44,3.96,Refuse
2017,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Unknown,0,550,80,88,21.47,7.55,Refuse
2008,No,Small,Low-Medium,Education,USA,Yes,,Organisation,No,Unknown,0,551,115,104,25.35,4.04,Refuse
2018,No,Small,Low-Medium,Education,USA,Yes,,Organisation,No,Unknown,0,552,90,98,23.96,7.92,Refuse
2013,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Computers stolen,2,553,282,248,60.74,21.01,Refuse
2016,No,Small,Low,Accommodation and food service activities,USA,Yes,Yes,Organisation,No,Malware installed at PoS,0,554,45,82,20.01,4.85,Refuse
2017,Yes,Medium,Low-Medium,Pharmaceutical products,USA,Yes,,Organisation,No,Email accounts compromised,1,555,167,133,32.64,11.97,Refuse
2017,Yes,Small,High,IT and other information services,USA,Yes,Yes,Organisation,No,Unknown,0,556,20,110,26.85,5.53,Refuse
2018,Yes,Small,High,Finance and insurance,USA,Yes,,Organisation,No,Email accounts compromised,0,557,83,73,17.8,6.16,Refuse
2017,Yes,Small,Medium-High,"Computer, electronic and optical products",USA,Yes,Yes,Organisation,No,Code placed on website,0,558,144,121,29.62,8.26,Refuse
2013,Yes,Small,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,0,559,125,125,30.55,9.48,Refuse
2014,Yes,Medium,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Server hacked,1,560,156,167,40.78,11.31,Refuse
2017,Yes,Large,Medium-High,Machine equipment,USA,Yes,Yes,Organisation,No,Unknown attack on website,2,561,336,286,70.05,21.41,Pay
2014,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Files stolen,0,562,136,129,31.52,9.91,Refuse
2016,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen,0,563,129,124,30.35,7.76,Refuse
2016,Yes,Small,High,IT and other information services,USA,Yes,Yes,Organisation,No,Malicious code inserted into system,0,564,109,89,21.9,3.85,Refuse
2013,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Flash drive stolen,0,565,55,99,24.3,3.71,Refuse
2015,Yes,Small,Medium-High,Public administration and defence,USA,Yes,No,Organisation,No,Unknown,0,566,106,137,33.63,9.49,Refuse
2014,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Laptop stolen,0,567,148,118,28.97,8.26,Refuse
2017,No,Small,Medium-High,"Arts, entertainment and recreation",USA,Yes,Yes,Organisation,No,Unknown,0,568,-2,110,27.03,3.62,Refuse
2013,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen,0,569,77,138,33.88,9.54,Refuse
2010,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Virus installed,0,570,133,81,19.88,7.66,Refuse
2013,Yes,Medium,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen,1,571,196,103,25.15,9.37,Refuse
2013,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Public,No,Malware installed,1,572,167,121,29.72,8.59,Refuse
2013,No,Medium,High,Other service activities,USA,Yes,Yes,Organisation,No,Unknown,1,573,217,137,33.42,12.76,Refuse
2014,Yes,Small,Low,Accommodation and food service activities,USA,Yes,Yes,Federal Agency,No,Malware installed on PoS,0,574,116,101,24.67,5.46,Refuse
2010,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Laptop stolen,0,575,124,139,34.05,10.01,Refuse
2017,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Ransomware,0,576,114,93,22.65,5.3,Refuse
2014,Yes,Small,Low-Medium,Human health activities,USA,Yes,No,Organisation,No,Laptop stolen,0,577,116,104,25.48,4.25,Refuse
2018,No,Small,High,Administrative and support service,Australia,Yes,,Organisation,No,Suspicious activity within network,0,578,100,96,23.41,5.56,Refuse
2014,Yes,Small,Low-Medium,Human health activities,USA,Yes,No,Organisation,No,Laptop and flash drives stolen,0,579,73,137,33.55,8.1,Refuse
2019,Yes,Medium,Medium-High,Public administration and defence,Australia,Yes,,Organisation,No,Malware installed,1,580,196,193,47.34,14.62,Refuse
2019,Yes,Medium,Low-Medium,Human health activities,USA,No,Yes,Organisation,No,Unauthorised access but unknown,1,581,177,145,35.59,9.97,Refuse
2010,Yes,Medium,Low,Accommodation and food service activities,USA,Yes,Yes,Federal Agency,No,Unknown,1,582,249,119,29.22,11.99,Refuse
2017,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,,No,Unauthorised access but unknown,1,583,197,196,48.03,13.24,Refuse
2016,Yes,Medium,High,IT and other information services,USA,Yes,Yes,Organisation,No,Unauthorised software,1,584,243,143,35.03,9.91,Refuse
2017,No,Large,Medium-High,"Arts, entertainment and recreation",USA,Yes,,Federal Agency,No,Unknown,2,585,319,239,58.58,18.57,Pay
2013,Yes,Medium,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,1,586,197,167,40.78,14.1,Refuse
2013,Yes,Large,High,Finance and insurance,USA,Yes,No,Organisation,No,Unknown attack on vendor's managed websites,2,587,301,204,50.01,15.16,Pay
2014,Yes,Medium,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Unknown,1,588,190,184,44.97,11.14,Refuse
2018,Yes,Small,Low,Accommodation and food service activities,USA,Yes,,Organisation,No,Unauthorised access but unknown,0,589,63,104,25.48,7.36,Refuse
2018,Yes,Medium,Low,"Agriculture, forestry and fishing",USA,Yes,,Organisation,No,Unauthorised access but unknown,1,590,211,162,39.74,12.14,Refuse
2016,Yes,Medium,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Unauthorised access but unknown,1,591,231,189,46.28,11.97,Refuse
2017,Yes,Small,Low,"Electricity, gas, steam and air conditioning",USA,Yes,,Organisation,No,Unauthorised code used to take data,0,592,101,102,24.98,8.46,Refuse
2012,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Laptop stolen,0,593,87,80,19.48,5.7,Refuse
2017,Yes,Small,High,Finance and insurance,USA,Yes,,Organisation,No,Suspicious activity within network on vendor's network,0,594,73,87,21.41,7.41,Refuse
2016,Yes,Small,High,IT and other information services,USA,Yes,Yes,Organisation,No,Phishing attack,0,595,113,53,12.96,1.4,Refuse
2018,No,Small,High,Legal and accounting activities,USA,Yes,,Organisation,No,Malware installed,0,596,105,112,27.49,6.59,Refuse
